Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
Biswanath Chariyali & Agra HVDC terminal (Pole-I),Central,±800,PGCIL,1500.0,NOV-15,2015-16
Angul (ICT-II),Central,765/400,PGCIL,1500.0,APR-15,2015-16
Bareilly (ICT-I),Central,765/400,PGCIL,1500.0,APR-15,2015-16
Thiruvalam S/S,Central,765/400,PGCIL,1500.0,APR-15,2015-16
Angul (ICT-III),Central,765/400,PGCIL,1500.0,MAY-15,2015-16
Champa Pooling Station(ICT-I),Central,765/400,PGCIL,1500.0,JUN-15,2015-16
Vadodara S/S,Central,765/400,PGCIL,3000.0,JUN-15,2015-16
Vindhyachal Pooling Station (ICT-II),Central,765/400,PGCIL,1500.0,AUG-15,2015-16
Angul S/S (ICT-IV),Central,765/400,PGCIL,1500.0,JAN-16,2015-16
Purnea (Aug.) (500-315),Central,400/220,PGCIL,160.0,JUN-15,2015-16
Biswanath Chariyali S/S,Central,400/132,PGCIL,200.0,SEP-15,2015-16
Kozhikode S/Stn. (2x315),Central,400/220,PGCIL,630.0,OCT-15,2015-16
Madhugiri S/S,Central,400/220,PGCIL,1000.0,NOV-15,2015-16
Muzaffarpur (ICT),Central,400/220,PGCIL,500.0,DEC-15,2015-16
Agra S/S (Aug.),Central,400/220,PGCIL,315.0,JAN-16,2015-16
Biswanath Chariyali S/S (ICT-II),Central,400/132,PGCIL,200.0,JAN-16,2015-16
Hazira S/S,Private,400/220,EPTCL,1000.0,JUL-15,2015-16
Rewa Road (GIS),Private,400/220,SEUPPTCL,630.0,NOV-15,2015-16
Sarnath (Aug),State,400/220,UPPTCL,500.0,APR-15,2015-16
Sarojini Nagar (Aug.),State,400/220,UPPTCL,75.0,APR-15,2015-16
Kukurmara (Azara)  S/S,State,400/220,AEGCL,630.0,MAY-15,2015-16
Bareilly (Aug) (2x315) S/S,State,400/220,UPPTCL,315.0,MAY-15,2015-16
Sholinganallur (Ottinmbakkam) S/S,State,400/230-110,TANTRANSCO,0.0,JUN-15,2015-16
Kanarapatty S/S,State,400/230-110,TANTRANSCO,0.0,JUN-15,2015-16
Kharghar S/S,State,400/220,MSETCL,315.0,JUN-15,2015-16
Nagda (Addl.),State,400/220,MPPTCL,315.0,AUG-15,2015-16
Duburi S/S,State,400/220,OPTCL,630.0,AUG-15,2015-16
Muradnagar II (ICT-I),State,400/220,UPPTCL,240.0,SEP-15,2015-16
Aligarh S/s,State,400/220,UPPTCL,500.0,OCT-15,2015-16
Katni (Addl.),State,400/220,MPPTCL,315.0,NOV-15,2015-16
Koradi -II,State,400/220,MSETCL,500.0,NOV-15,2015-16
Muradnagar - II (ICT-II) S/S,State,400/220,UPPTCL,240.0,DEC-15,2015-16
Manubolu (Nellore) S/S,State,400/220,APTRANSCO,315.0,JAN-16,2015-16
Chorania (Aug.) S/S,State,400/220,GETCO,500.0,JAN-16,2015-16
Vadavi (Aug.) S/S,State,400/220,GETCO,315.0,JAN-16,2015-16
Ajmer S/S,State,400/220,RVPNL,315.0,JAN-16,2015-16
Mamidipalli S/S,State,400/220,TSTRANSCO,315.0,JAN-16,2015-16
Mundka s/s(3rd 400/220 kV ICT),State,400/220,DTL,315.0,FEB-16,2015-16
Nanded (Kumbhargaon)S/S,State,400/220,MSETCL,500.0,FEB-16,2015-16
Hindupur (Aug.),State,220/66,APTRANSCO,60.0,APR-15,2015-16
Manubolu (Aug.),State,220/66,APTRANSCO,100.0,APR-15,2015-16
Peera Garhi (2x100),State,220/33,DTL,200.0,APR-15,2015-16
Daultabad,State,220/66,HVPNL,100.0,APR-15,2015-16
Nawada (Addl.),State,220/66,HVPNL,100.0,APR-15,2015-16
Ambewadi (Aug.),State,220/110,KPTCL,45.0,APR-15,2015-16
Kemar (Aug.),State,230/110,KPTCL,100.0,APR-15,2015-16
Datia S/S,State,220/132,MPPTCL,160.0,APR-15,2015-16
Gwalior-II (Banmore) S/S,State,220/132,MPPTCL,160.0,APR-15,2015-16
Boisar S/S,State,220/33,MSETCL,50.0,APR-15,2015-16
Butibori S/S,State,220/132,MSETCL,100.0,APR-15,2015-16
Chinchwad S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Coiourchem S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Dhule S/S,State,220/33,MSETCL,25.0,APR-15,2015-16
Kamba S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Magarpatta S/S,State,220/132,MSETCL,100.0,APR-15,2015-16
Nalasopara (Aug.),State,220/22,MSETCL,100.0,APR-15,2015-16
Pegasus S/S,State,220/22,MSETCL,25.0,APR-15,2015-16
Raymond S/S,State,220/33,MSETCL,50.0,APR-15,2015-16
Satana S/S,State,220/132,MSETCL,200.0,APR-15,2015-16
Serum S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Duburi S/S,State,220/33,OPTCL,40.0,APR-15,2015-16
Banur (Aug.),State,220/66,PSTCL,100.0,APR-15,2015-16
Devigarh (Aug.) (2nd Addl.),State,220/66,PSTCL,160.0,APR-15,2015-16
Haridwar (Aug.) S/S,State,220/33,PTCUL,120.0,APR-15,2015-16
Sitapura S/S,State,220/132,RVPNL,160.0,APR-15,2015-16
Tehendesar S/S,State,220/132,RVPNL,100.0,APR-15,2015-16
Anthiyur (Addl.),State,230/110,TANTRANSCO,100.0,APR-15,2015-16
Guindy (GIS ) (New) S/S,State,230/110,TANTRANSCO,200.0,APR-15,2015-16
Thondayarpet (Addl),State,230/110,TANTRANSCO,100.0,APR-15,2015-16
Fabcity S/S,State,220/132,TSTRANSCO,150.0,APR-15,2015-16
Miyapur S/S,State,220/132,TSTRANSCO,160.0,APR-15,2015-16
B.K.T Lucknow (Now),State,220/132,UPPTCL,120.0,APR-15,2015-16
Chibramau (Aug.),State,220/132,UPPTCL,60.0,APR-15,2015-16
"Jansath, Muzaffarnagar (New)",State,220/132,UPPTCL,200.0,APR-15,2015-16
sarojini Nagar (Aug.),State,220/132,UPPTCL,60.0,APR-15,2015-16
Kudus -II (Addl.) S/S,State,220/33,MSETCL,100.0,MAY-15,2015-16
Abohar S/S,State,220/66,PSTCL,100.0,MAY-15,2015-16
Aau S/S,State,220/132,RVPNL,160.0,MAY-15,2015-16
Alandur (GIS) S/S,State,220/110,TANTRANSCO,100.0,MAY-15,2015-16
Erragadda (3x160),State,220/132,TSTRANSCO,160.0,MAY-15,2015-16
B.K.T. (Aug) -II,State,220/132,UPPTCL,60.0,MAY-15,2015-16
Mirzapur (Aug.) - II,State,220/132,UPPTCL,100.0,MAY-15,2015-16
