Region,State_UT,Jul2026_Energy_Req_MU,Jul2026_Energy_Avail_MU,Jul2026_Energy_Surplus_Deficit_MU,Jul2026_Energy_Surplus_Deficit_Pct,Apr_Jul2026_Energy_Req_MU,Apr_Jul2026_Energy_Avail_MU,Apr_Jul2026_Energy_Surplus_Deficit_Pct
,State,0.0,0.0,0.0,0.0,0.0,0.0,70.7
,Private,700.0,0.0,0.0,0.0,700.0,0.0,638.6
,Central,7274.79,0.0,0.0,0.0,7274.79,0.0,0.0
,Sub-Total,7974.79,0.0,0.0,0.0,7974.79,0.0,709.3
,State,420.0,0.0,0.0,0.0,420.0,0.0,0.05
,Private,580.0,0.0,0.0,0.0,580.0,0.0,338.26
,Central,3101.28,0.0,0.0,0.0,3101.28,0.0,4.0
,Sub-Total,4101.28,0.0,0.0,0.0,4101.28,0.0,342.31
,State,5470.0,0.0,0.0,0.0,5470.0,0.0,342.84
,Private,2185.0,0.0,0.0,0.0,2185.0,0.0,446.92
,Central,1873.7,0.0,0.0,0.0,1873.7,0.0,24.1
,Sub-Total,9528.7,0.0,0.0,0.0,9528.7,0.0,813.86
,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Private,150.0,0.0,0.0,0.0,150.0,0.0,0.0
,Central,2887.02,0.0,0.0,0.0,2887.02,0.0,0.0
,Sub-Total,3037.02,0.0,0.0,0.0,3037.02,0.0,0.0
,State,1740.0,0.0,0.0,0.0,1740.0,0.0,7.63
,Private,2096.0,0.0,0.0,0.0,2096.0,0.0,1319.65
,Central,2136.47,0.0,0.0,0.0,2136.47,0.0,10.0
,Sub-Total,5972.47,0.0,0.0,0.0,5972.47,0.0,1337.28
,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Private,0.0,0.0,0.0,0.0,0.0,0.0,62.67
,Central,119.1,0.0,0.0,0.0,119.1,0.0,0.0
,Sub-Total,119.1,0.0,0.0,0.0,119.1,0.0,62.67
,Central - Unallocated,2274.33,0.0,0.0,0.0,2274.33,0.0,0.0
,State,7630.0,0.0,0.0,0.0,7630.0,0.0,421.22
,Central,19666.68,0.0,0.0,0.0,19666.68,0.0,38.1
,Grand Total,33007.68,0.0,0.0,0.0,33007.68,0.0,3265.42
