Financial_Year,Coal_Consumption_Million_Tonnes
2004-05,278.0
2005-06,281.0
2006-07,302.0
2007-08,330.0
2008-09,355.0
2009-10,367.0
2010-11,387.0
2011-12,417.56
2012-13,454.6
2013-14,489.4
2014-15,530.4
2015-16,545.9
2016-17,574.3
2017-18,608.0
2018-19,628.9
2019-20,622.2
2020-21,615.44
2021-22,697.34
2022-23,776.79
2005-06,631.4
2006-07,671.9
2007-08,717.1
2008-09,733.5
2009-10,778.6
2010-11,818.8
2011-12,883.63
2012-13,914.41
2013-14,957.0
2014-15,1010.0
2015-16,1075.0
2016-17,1122.0
2017-18,1149.0
2018-19,1181.0
2019-20,1208.0
2020-21,1161.0
2021-22,1255.0
2013-14,519.0
2014-15,521.0
2015-16,531.0
2016-17,538.0
2018-19,600.0
2019-20,614.0
2020-21,619.0
