Financial_Year,Energy_Requirement_MU,Energy_Availability_MU,Energy_Surplus_Deficit_MU,Energy_Deficit_Pct,Growth_Energy_Requirement_Pct,Growth_Energy_Availability_Pct
2003-04,559264.0,519398.0,-39866.0,-7.1,2.5,4.4
2004-05,591373.0,548115.0,-43258.0,-7.3,5.7,5.5
2005-06,631757.0,578819.0,-52938.0,-8.4,6.8,5.6
2006-07,690587.0,690587.0,-66092.0,-9.6,9.3,7.9
2007-08,739343.0,739343.0,-73336.0,-9.9,7.1,6.6
2008-09,777039.0,691038.0,-86001.0,-11.1,5.1,3.8
2009-10,830593.0,746644.0,-83949.0,-10.1,6.9,8.0
2010-11,861591.0,788355.0,-73236.0,-8.5,3.7,5.6
2011-12,937199.0,857886.0,-79313.0,-8.5,8.8,8.8
2012-13,995557.0,908652.0,-86905.0,-8.7,6.2,5.9
2013-14,1002257.0,959829.0,-42428.0,-4.2,0.7,5.6
2014-15,1068923.0,1030785.0,-38138.0,-3.6,6.7,7.4
2015-16,1114408.0,1090850.0,-23558.0,-2.1,4.3,5.8
2016-17,1142928.0,1135332.0,-7596.0,-0.7,2.6,4.1
2017-18,1213326.0,1204697.0,-8629.0,-0.7,6.2,6.1
2018-19,1274595.0,1267526.0,-7070.0,-0.6,5.0,5.2
2019-20,1291010.0,1284444.0,-6566.0,-0.5,1.3,5.0
2020-21,1275534.0,1270663.0,-4871.0,-0.4,-1.2,-1.1
2021-22,1379812.0,1374024.0,-5787.0,-0.4,8.2,8.1
2022-23,1513497.0,1505914.0,-7583.0,-0.5,9.7,9.6
2023-24,1626132.0,1622020.0,-4112.0,-0.3,7.4,7.7
2024-25,1693959.0,1692369.0,-1590.0,-0.1,4.2,4.3
2025-26,1707493.0,1706985.0,-508.0,0.0,0.8,0.9
