Financial_Year,Peak_Demand_MW,Peak_Met_MW,Peak_Surplus_Deficit_MW,Peak_Deficit_Pct,Growth_Peak_Demand_Pct,Growth_Peak_Met_Pct
2003-04,84574.0,75066.0,-9508.0,-11.2,3.8,4.9
2004-05,87906.0,77652.0,-10254.0,-11.7,3.9,3.4
2005-06,93255.0,81792.0,-11463.0,-12.3,6.1,5.3
2006-07,100715.0,100715.0,-13897.0,-13.8,8.0,6.1
2007-08,108866.0,108866.0,-18073.0,-16.6,8.1,4.6
2008-09,109809.0,96785.0,-13024.0,-11.9,0.9,6.6
2009-10,119166.0,104009.0,-15157.0,-12.7,8.5,7.5
2010-11,122287.0,110256.0,-12031.0,-9.8,2.6,6.0
2011-12,130006.0,116191.0,-13815.0,-10.6,6.3,5.4
2012-13,135453.0,123294.0,-12159.0,-9.0,4.2,6.1
2013-14,135918.0,129815.0,-6103.0,-4.5,0.3,5.3
2014-15,148166.0,141160.0,-7006.0,-4.7,9.0,8.7
2015-16,153366.0,148463.0,-4903.0,-3.2,3.5,5.2
2016-17,159542.0,156934.0,-2608.0,-1.6,4.0,5.7
2017-18,164066.0,160752.0,-3314.0,-2.0,2.8,2.4
2018-19,177022.0,175528.0,-1494.0,-0.8,7.9,9.2
2019-20,183804.0,182533.0,-1271.0,-0.7,3.8,4.0
2020-21,190198.0,189395.0,-802.0,-0.4,3.5,3.8
2021-22,203014.0,200539.0,-2475.0,-1.2,6.7,5.9
2022-23,215888.0,207231.0,-8657.0,-4.0,6.3,3.3
2023-24,243271.0,239931.0,-3340.0,-1.4,12.7,15.8
2024-25,249856.0,249854.0,-2.0,0.0,2.7,4.1
2025-26,245444.0,245416.0,-28.0,0.0,-1.8,-1.8
