Region,State_UT,Jul2026_Peak_Demand_MW,Jul2026_Peak_Met_MW,Jul2026_Peak_Surplus_Deficit_MW,Jul2026_Peak_Surplus_Deficit_Pct,Apr_Jul2026_Peak_Demand_MW,Apr_Jul2026_Peak_Met_MW,Apr_Jul2026_Peak_Surplus_Deficit_Pct
,State,0.0,0.0,306.36,0.0,306.36,0.0,5.01
,Private,0.0,0.0,0.0,0.0,0.0,0.0,675.66
,Central,695.52,0.0,435.56,0.0,1131.08,0.0,97.75
,Sub-Total,695.52,0.0,741.92,0.0,1437.43,0.0,778.41
,State,0.0,0.0,0.0,0.0,0.0,0.0,143.36
,Private,0.0,0.0,0.0,0.0,0.0,0.0,12.97
,Central,37.05,0.0,46.82,0.0,83.87,0.0,0.0
,Sub-Total,37.05,0.0,46.82,0.0,83.87,0.0,156.33
,State,0.0,0.0,0.0,0.0,0.0,0.0,55.03
,Private,0.0,0.0,0.0,0.0,0.0,0.0,18.08
,Central,51.6,0.0,109.69,0.0,161.29,0.0,0.0
,Sub-Total,51.6,0.0,109.69,0.0,161.29,0.0,73.11
,State,0.0,0.0,105.0,0.0,105.0,0.0,0.0
,Private,0.0,0.0,0.0,0.0,0.0,0.0,53.81
,Central,106.0,0.0,381.94,0.0,487.94,0.0,5.25
,Sub-Total,106.0,0.0,486.94,0.0,592.94,0.0,59.05
,State,0.0,0.0,0.0,36.0,36.0,0.0,0.72
,Private,0.0,0.0,0.0,0.0,0.0,0.0,22.3
,Central,47.1,0.0,81.58,0.0,128.68,0.0,0.0
,Sub-Total,47.1,0.0,81.58,36.0,164.68,0.0,23.01
,State,0.0,0.0,0.0,0.0,0.0,0.0,35.07
,Private,0.0,0.0,0.0,0.0,0.0,0.0,3.68
,Central,32.1,0.0,73.93,0.0,106.03,0.0,0.0
,Sub-Total,32.1,0.0,73.93,0.0,106.03,0.0,38.75
,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Private,0.0,0.0,0.0,0.0,0.0,0.0,79.89
,Central,31.05,0.0,60.46,0.0,91.51,0.0,0.0
,Sub-Total,31.05,0.0,60.46,0.0,91.51,0.0,79.89
,Central - Unallocated,112.6,0.0,63.62,0.0,176.22,0.0,0.0
,State,0.0,0.0,411.36,36.0,447.36,0.0,239.19
Eastern Region)       Central        1113.02              0             1253.6        0         2366.62     0       2050.01     102.99      2153      4519.62,Grand Total,1113.02,0.0,1664.96,36.0,2813.97,0.0,1208.55
