Region,State_UT,RE_MW_2017_18,RE_MW_2018_19,RE_MW_2019_20,RE_MW_2020_21,RE_MW_2021_22,RE_MW_2022_23,RE_MW_2023_24,RE_MW_2024_25
Northern Region,STATES / UTs     2017,-18.0,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Northern Region,Haryana            51,0.49,519.11,547.19,762.51,1242.13,1362.09,1832.92,2449.94
Northern Region,Himachal         1051,4.3,10707.75,10768.91,10916.61,11303.49,11330.42,11356.16,12196.18
Northern Region,Jammu &           365,0.22,3664.1,3581.11,3588.11,3551.61,3556.12,3595.37,3624.42
Northern Region,Ladakh,0.0,0.0,89.0,89.0,136.44,137.79,139.79,142.59
Northern Region,Punjab            262,6.98,2522.38,2566.86,2743.8,2864.12,2961.93,3163.92,3270.42
Northern Region,Rajasthan         728,9.36,8223.73,10134.97,10812.35,17451.62,22809.05,27103.89,34136.34
Northern Region,Uttar             344,7.25,3739.46,3900.97,4563.07,4985.12,5282.65,5697.17,6223.91
Northern Region,Uttarakhand       437,9.83,4426.88,4437.96,4589.24,4787.15,4909.14,4971.94,5010.77
Northern Region,Chandigarh          2,6.01,35.52,41.36,45.97,55.17,58.69,65.52,78.85
Northern Region,Delhi              12,3.03,180.35,218.62,246.43,270.12,302.26,340.51,397.4
Northern Region,Total            3256,7.47,34019.28,36286.95,38357.09,46646.97,52710.14,58267.19,67530.82
Northern Region,Arunachal          51,7.0,655.69,955.98,1256.27,1257.34,1259.75,1259.9,1270.46
Northern Region,Assam              37,8.39,414.58,433.86,437.67,504.05,534.04,542.29,582.65
Northern Region,Manipur            11,5.28,118.66,120.43,121.84,122.7,122.73,123.49,124.24
Northern Region,Meghalaya          41,8.85,372.18,372.18,372.18,372.48,372.48,395.07,395.11
Northern Region,Mizoram            10,0.16,101.2,102.52,103.45,104.37,133.49,135.78,135.86
Northern Region,Nagaland           10,8.51,108.51,108.51,108.58,108.71,110.71,110.84,110.84
Northern Region,Tripura             2,4.53,24.53,28.91,29.57,30.9,33.61,34.47,37.25
Northern Region,Total             166,2.72,1795.35,2122.39,2429.56,2500.55,2566.81,2601.84,2656.41
Northern Region,Andhra Pradesh      8,60.58,9560.02,10091.4,10696.1,10821.6,10970.2,11029.3,12114.48
Northern Region,Karnataka          16,241.6,17524.4,18918.1,19149.3,19593.8,20408.4,21441.9,23917.64
Northern Region,Kerala              2,282.06,2290.71,2304.35,2428.92,2527.2,2957.1,3229.46,3853.38
Northern Region,Tamil Nadu          1,3451.7,14909.4,16588.8,17476.7,18277.5,20098.6,22161.6,25241.36
Northern Region,Telangana           6,507.48,6405.96,6442.85,6796.59,7364.79,7510.97,7604.4,7688.34
Northern Region,Lakshadweep,3.14,3.14,3.27,3.27,3.27,3.27,4.97,4.97
Northern Region,Pondicherry,0.34,3.32,5.69,9.51,13.69,35.53,49.91,54.51
Northern Region,Total,46546.9,50696.95,54354.46,56560.39,58601.85,61984.07,65521.54,72874.68
Northern Region,Others,47.66,49.31,49.31,49.31,49.31,49.31,49.31,49.31
Northern Region,Grand Total        11,5944.9,124811.2,133954.5,142012.6,156607.9,172010.0,190572.7,220096.35
