State_UT,Wind_Power_MW,Small_Hydro_MW,Biomass_Power_MW,Bagasse_Cogeneration_MW,Solar_Power_Ground_MW,Large_Hydro_MW
Andhra Pradesh,123336.0,409.32     1,999.49,279.6    299,312.12       2,596.0
Arunachal Pradesh,246    2,64.92,18.46,0.0,467.52      50,394.0
Assam,459.0,201.99,321.89,19.0,173.13,643.0
Bihar,4023.0,526.98,964.37,346.6     32,991.49      13,0.1
Chhattisgarh,2749.0,1098.2,353.68,126.0,484.29       1,311.0
Goa,14.0,4.7,32.97,6.0,752.35,0.0
Gujarat,180790.0,201.97     2,637.84,554.7     24,3219.9,550.0
Haryana,593.0,107.4     1,353.35,362.1,6468.1,0.0
Himachal Pradesh,239    3,460.34,69.71,21.0,501.61      18,305.0
UT of Jammu &,0.0,0.0,0.0,8.0,588.94,0.0
Kashmir,1.0,707.45,82.82,0.0,129.0,71.5
Ladakh,1.0,0.0,0.0,8.0,556.64,0.0
Jharkhand,16.0,227.96,146.31,51.0,831.29,300.0
Karnataka,169251    3,726.49,1793.88,1762.1    223,278.99      44,14.4
Kerala,2621.0,647.15,778.41,12.0,404.71     247,2.75
Madhya Pradesh,55423.0,820.44,2516.42,318.0,972.16,2819.0
Maharashtra,173868.0,786.46,2629.55,3917    486,678.68,3144.0
Manipur,0.0,99.95,62.31,2.0,293.92,615.0
Meghalaya,55.0,230.05,68.54,1.0,4674.1,2026.0
Mizoram,0.0,168.9,2.9,0.0,612.21      19,26.7
Nagaland,0.0,182.18,53.9,0.0,190.96,325.0
Orissa,12129.0,286.22,298.72,139.0,474.33      28,24.5
Punjab,428.0,578.28,3022.11,414.4      9,210.19     130,0.73
Rajasthan,284250.0,51.67,1299.55,828.0,781.44,411.0
Sikkim,0.0,266.64,4.73,0.0,254.46,6051.0
Tamil Nadu,95107.0,604.46,1560.08,639.3    204,765.06      17,85.2
Telangana,54717.0,102.25,1678.36,117.4    140,451.26,1302.0
Tripura,0.0,46.86,34.35,9.0,105.85,0.0
Uttar Pradesh,510.0,460.75,2800.31,4925.7     97,842.99       5,1.6
Uttarakhand,49    1,664.31,93.34,215.1      4,436.24    1348,1.35
West Bengal,1281.0,392.06,1741.74,22.0,742.39       8,9.2
Andaman & Nicobar,1245.0,7.27,18.13,0.0,594.22,0.0
Chandigarh,0.0,0.0,0.15,0.0,22.42,0.0
Dadar & Nagar,0.0,0.0,0.0,0.0,498.31,0.0
Haveli & Daman and,17.0,0.0,2.16,0.0,0.0,0.0
Diu,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,0.0,0.0,550.22,0.0
Lakshadweep,31.0,0.0,1.39,0.0,0.0,0.0
Pondicherry,408.0,0.0,5.0,0.0,195.9,0.0
Others,0.0,0.0,0.0,284.4,0.0,0.0
Total,1163856.0,21133.62,28446.91,13818.4,3343378.39,133410.03
