State_UT,Small_Hydro_MU,Wind_Power_MU,Bio_Power_MU,Solar_Power_MU,Large_Hydro_MU,Total_RE_Generation_MU
Andhra Pradesh,294.36,7235.04,379.35,7993.48,0.0,9205.31
Arunachal Pradesh,0.58,0.0,0.0,1.3,4205.16,4207.04
Assam,208.55,0.0,0.3,305.52,998.75,1513.11
Bihar,14.54,0.0,104.7,325.86,0.0,445.1
Chhattisgarh,139.34,0.0,1563.31,1523.27,419.42,3645.35
Goa,0.0,0.0,8.14,57.11,0.0,65.24
Gujarat,205.98,25440.9,107.62,20219.48,0.0,2002.5
Haryana,314.64,0.0,452.96,1470.02,0.0,2237.62
Himachal Pradesh,3040.9,0.0,0.0,107.24,0.0,2534.43
Jammu & Kashmir,395.17,0.0,0.0,0.0,0.0,5595.82
Jharkhand,6.25,0.0,0.0,17.64,269.12,293.01
Karnataka,2259.49,13620.33,2506.4,15699.63,0.0,8141.85
Kerala,814.29,119.85,77.17,1711.83,6733.99,9457.13
Ladakh,0.0,0.0,0.0,0.0,413.06,413.06
Madhya Pradesh,482.19,4712.84,248.56,7123.73,0.0,174.05
Maharashtra,855.48,7659.71,3350.8,7725.2,0.0,5226.43
Manipur,0.0,0.0,0.0,8.68,706.37,715.05
Meghalaya,116.65,0.0,0.0,0.0,905.58,1022.23
Mizoram,52.11,0.0,0.0,25.38,240.3,317.79
Nagaland,98.62,0.0,0.0,0.0,215.02,313.64
Odisha,457.2,0.0,53.8,786.75,6285.36,7583.11
Punjab,734.01,0.0,1040.17,1372.73,4126.11,7273.02
Rajasthan,4.15,6941.26,400.85,49101.62,0.0,7353.68
Sikkim,12.35,0.0,0.0,0.0,2012.67,2025.02
Tamil Nadu,256.6,17326.66,484.89,15739.3,0.0,8410.18
Telangana,74.48,290.6,334.85,6941.75,0.0,2912.48
Tripura,0.0,0.0,0.0,5.97,0.0,5.97
Uttar Pradesh,179.0,0.0,2563.71,4966.06,1273.74,8982.5
Uttarakhand,353.4,0.0,248.52,331.8,0.0,6117.54
West Bengal,183.3,0.0,1462.46,320.75,2649.7,4616.21
Andaman & Nicobar,14.4,0.0,0.0,24.59,0.0,39.0
Chandigarh,0.0,0.0,0.0,8.79,0.0,8.79
Dadar & Nagar,0.0,0.0,12.76,15.87,0.0,28.63
Haveli/Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,542.41,206.53,0.0,748.95
Lakshadweep,0.0,0.0,0.0,0.09,0.0,0.09
Pondicherry,0.0,0.0,0.0,12.24,0.0,12.24
Total,11568.03,83347.19,15943.73,144150.21,0.0,3643.17
