State_UT,Small_Hydro_MW,Wind_Power_MW,Bio_Power_MW,Solar_Ground_Mounted_MW,Solar_Roof_Top_MW,Total_RE_MW,Total_RES_incl_Large_Hydro_MW
Andhra Pradesh,163.31,4377.15,594.02,5370.00    161,0.00    1211,4.48,0.0
Arunachal Pradesh,140.61,0.0,0.0,14.85    111,5.00     127,0.46,0.0
Assam,34.11,0.0,2.0,196.54     35,0.00      58,2.65,0.0
Bihar,70.7,0.0,140.22,328.34,53.0,9.26,0.0
Chhattisgarh,76.0,0.0,285.42,1347.04     12,0.00     182,8.46,0.0
Goa,0.05,0.0,1.94,56.44,5.0,8.43,0.0
Gujarat,106.64,12677.48,122.25   1,8496.66    199,0.00    3339,3.03,0.0
Haryana,73.5,0.0,311.47,2064.97,244.0,9.94,0.0
Himachal Pradesh,1000.71,0.0,10.2,204.26   1098,1.02    1219,6.19,0.0
Jammu & Kashmir,189.93,0.0,0.0,74.49    336,0.00     362,4.42,0.0
Jharkhand,4.05,0.0,20.14,199.87     21,0.00      43,4.06,0.0
Karnataka,1284.73,7351.1,1912.95,9679.66    368,9.20    2391,7.64,0.0
Kerala,276.52,71.27,2.5,1538.94    196,4.15     385,3.38,0.0
Ladakh,45.79,0.0,0.0,7.80      8,9.00      14,2.59,0.0
Madhya Pradesh,123.71,3195.15,155.46,5118.38    223,5.00    1082,7.7,0.0
Maharashtra,384.28,5284.61,2998.30   1,0687.27    304,7.00    2240,1.46,0.0
Manipur,5.45,0.0,0.0,13.79     10,5.00      12,4.24,0.0
Meghalaya,55.03,0.0,13.8,4.28     32,2.00      39,5.11,0.0
Mizoram,45.47,0.0,0.0,30.39      6,0.00      13,5.86,0.0
Nagaland,32.67,0.0,0.0,3.17      7,5.00      11,0.84,0.0
Odisha,115.63,0.0,64.22,624.44    215,4.55     295,8.84,0.0
Punjab,176.1,0.0,576.59,1421.43    109,6.30     327,0.42,0.0
Rajasthan,23.85,5208.75,206.27   2,8286.47     41,1.00    3413,6.34,0.0
Sikkim,55.11,0.0,0.0,7.56    228,2.00     234,4.67,0.0
Tamil Nadu,123.05,11739.91,1046.62   1,0153.58    217,8.20    2524,1.36,0.0
Telangana,90.87,128.1,221.67,4842.10    240,5.60     768,8.34,0.0
Tripura,16.01,0.0,0.0,21.24,3.0,7.25,0.0
Uttar Pradesh,49.1,0.0,2309.14,3364.07     50,1.60     622,3.91,0.0
Uttarakhand,233.82,0.0,148.53,593.07    403,5.35     501,0.77,0.0
West Bengal,98.5,0.0,351.86,320.62    134,1.20     211,2.18,0.0
Andaman & Nicobar,5.25,0.0,0.0,29.91,3.0,5.16,0.0
Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,78.85,7.0,8.85,0.0
"""Dadar & Nagar",0.0,0.0,3.75,48.12,5.0,1.87,0.0
Haveli/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Daman & Diu""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.0,0.0,84.0,313.4,39.0,7.4,0.0
Lakshadweep,0.0,0.0,0.0,4.97,0.0,4.97,0.0
Pondicherry,0.0,0.0,0.0,54.51,5.0,4.51,0.0
Others,0.0,4.3,0.0,45.01,4.0,9.31,0.0
Total,5100.55,50037.82,11583.32 105,646.49    4772,8.17   22009,6.35,0.0
