"Sector","State Sector"
"400/220kV/kV<br>Bhopal 400 kV SS (replacement of 315 MVA by 500 MVA T/F)",185
"400/220kV/kV<br>400 kV S/S Nakodar",500
"400/110kV/kV<br>Vellalaviduthi (400/110 kV T/F-II)",200
"400/230kV/kV<br>Sriperumbudur 400/230 kV SS (enhancement from 3x315+1x500 MVA to 2x315+2x500 MVA)",185
"230/110kV/kV<br>Mondipatty SS (replacement of 80 MVA T/F with 100 MVA)",20
"220/33kV/kV<br>220 kV SS Nansuralla in Kurnool District (Additional 50 MVA T/F)",50
"220/132kV/kV<br>Bethamcherla in Kurnool District (GEC-I)",160
"220/132kV/kV<br>Parchanpal (Jagdalpur) SS (late reported, commissioned in October-2024)",160
"220/66kV/kV<br>220 kV Jambuva (Augmentation from 260 MVA to 420MVA)",160
"220/66kV/kV<br>220 kV Suva (late reported, commissioned in October-2024)",160
"220/132kV/kV<br>Augmentation at 220 kV Masudpur SS",100
"220/110kV/kV<br>Somasamudra SS (2X100 MVA T/F)",200
"220/132kV/kV<br>Nagda 220 kV SS (replacement of 160 MVA by ",40
"220/33kV/kV<br>220/33 kV New Timber Market GIS (Panvel -II )",50
"220/66kV/kV<br>220 kV SS Sandhaur (late reported, commissioned in October-2024)",100
"220/66kV/kV<br>Addl. 100 MVA 220/66 kV T/F at 220 kV Badni Kalan SS",100
"220/132kV/kV<br>220 kV SS Civil line Amritsar (late reported, commissioned in October-2024)",100
"220/132kV/kV<br>220 kV GSS Balotra (replacement of 100 MVA T/F with 160 MVA T/F)",60
"220/33kV/kV<br>220 kV GIS SS Badaun Road Bareilly (T/F-II)",60
"220/132kV/kV<br>AB Zone 220 KV GIS (upgraded to 220 kV from 132 kV)",320
